n	caso	status	t_solver_s	t_wall_s	objective	Vmin_pu	Vmax_pu	Pg_pu	Qg_pu	Perdas_pu	rc
14	caso_red	LOCALLY_INFEASIBLE	56.138	87	3579.1255096621203	-	-	-	-	-	1
15	caso_red	LOCALLY_SOLVED	1.2061	28	0.0	0.943	1.2465	34.2527	-16.0196	6.968	0
16	caso_red	LOCALLY_SOLVED	14.6964	42	90597.3505434977	0.9354	1.226	34.4582	-8.2852	7.1736	0
17	caso_red	LOCALLY_SOLVED	15.0223	46	12022.292186347215	0.9197	1.2253	34.551	-6.19	7.2663	0
18	caso_red	LOCALLY_SOLVED	180.0731	211	478.0494623865657	0.4992	1.2693	34.7764	8.7788	7.4917	0
19	caso_red	LOCALLY_SOLVED	39.2078	71	-	0.5229	1.2689	34.6652	6.2334	7.3806	0
14	caso_red2	LOCALLY_INFEASIBLE	7.1381	29	287.4291801181969	0.95	1.2184	2.8743	0.3296	1.8164	0
15	caso_red2	LOCALLY_INFEASIBLE	7.3398	27	0.0	-0.431	1.9353	5.784	3.924	8.1201	0
16	caso_red2	LOCALLY_SOLVED	3.083	26	493.6587630965932	0.95	1.2313	2.8943	0.1225	1.8317	0
17	caso_red2	LOCALLY_SOLVED	3.9816	27	216.12173658464994	0.95	1.2285	2.9007	0.1713	1.8381	0
18	caso_red2	LOCALLY_SOLVED	125.2953	148	0.09562786722043956	0.95	1.269	2.8593	2.3991	1.7966	0
19	caso_red2	LOCALLY_SOLVED	5.6052	29	-	0.95	1.2687	2.8742	2.186	1.8116	0
