ID_Barra,Nome_Barra,Tipo,Tensao_Mag_pu,Angulo_graus,Base_kV
10,ANGRA1UNE001,2,0.9890,-27.0000,992.0
11,ANGRA2UNE001,2,0.9820,-26.0000,992.0
12,LCBARRUHE006,2,0.9750,-17.0000,992.0
13,LCBARRSIN000,2,1.0050,-23.0000,990.0
14,FUNIL-UHE003,2,0.9610,-31.0000,992.0
16,FURNASUHE007,2,0.9750,-22.0000,992.0
17,FURNASSIN000,2,1.0050,-29.0000,990.0
18,ITUMBIUHE006,2,0.9660,-1.7000,992.0
19,ITUMBISIN000,2,1.0010,-11.0000,990.0
20,MARIMBUHE008,2,1.0250,-7.8000,992.0
21,MANSO-UHE003,2,0.9860,-8.2000,992.0
22,M.MORAUHE006,2,1.0010,-17.0000,992.0
23,CBRAV-SIN000,2,1.0010,0.0430,990.0
24,M.MORBUHE004,2,0.9770,-18.0000,992.0
28,PCOLOMUHE004,2,1.0250,-12.0000,992.0
30,SCRU19UTE000,2,1.0030,-40.0000,992.0
31,SCRU31UT3001,2,1.0030,-40.0000,992.0
32,SCRU16UTE002,2,0.9930,-33.0000,992.0
35,CORUMBUHE003,2,0.9790,-4.1000,992.0
36,S.MESAUHE003,2,0.9730,-6.3000,992.0
37,S.MESASIN000,2,1.0040,-13.0000,990.0
38,GRAJA2SIN001,2,1.0070,-44.0000,13.8
41,VITOR2SIN001,2,1.0090,-43.0000,990.0
44,GRAJA1SIN001,2,1.0110,-44.0000,13.8
47,VITOR1SIN001,2,1.0090,-43.0000,990.0
48,IBIUNASIN004,2,0.9790,-40.0000,20.0
50,TPRETOSIN001,2,0.9880,-42.0000,20.0
52,GNA-I--RJ345,1,1.0160,-42.0000,345.0
53,GNA1G-UTE000,2,0.9670,-42.0000,20.0
54,GNA1V-UTE000,2,0.9670,-42.0000,20.0
56,IVAIP3-PR069,1,0.9660,-18.0000,69.0
57,IVAIP2-PR069,1,0.9110,-18.0000,69.0
58,IVAIP2-PR000,1,1.0290,-18.0000,991.0
59,IVAIP3-PR000,1,1.0240,-18.0000,991.0
60,F.IGUA-PR765,1,0.9980,-7.2000,765.0
61,FOZ60--PR500,1,1.0440,-4.4000,500.0
62,IV-FZ1CAP765,1,1.0230,-18.0000,765.0
63,IV-FZ2CAP765,1,1.0280,-25.0000,765.0
64,IV-FZ3CAP765,1,1.0250,-25.0000,765.0
65,IVAIPO-PR765,1,1.0230,-18.0000,765.0
66,IVAIPA-PR525,1,1.0110,-18.0000,525.0
67,IVAIP1-PR069,1,0.9090,-18.0000,69.0
68,IVAIP1-PR000,1,1.0290,-18.0000,991.0
69,IV-IT1CAP765,1,1.0230,-18.0000,765.0
70,IV-IT2CAP765,1,1.0300,-10.0000,765.0
71,IV-IT3CAP765,1,1.0300,-10.0000,765.0
72,ITABER-SP765,1,1.0160,-26.0000,765.0
73,IT-TP1CAP765,1,1.0160,-26.0000,765.0
