ID_Gerador,ID_Barra,Pot_Ativa_MW,Pot_Reativa_Mvar,P_Max_MW,P_Min_MW,Status
1,47359,47.5200,-0.1780,144.0000,0.0000,0
2,9682,50.0000,7.9440,80.0000,0.0000,1
3,1863,47.9000,-4.8400,47.9000,0.0000,1
4,4335,2.9000,0.0000,99999.0000,0.0000,0
5,45980,0.0000,0.0000,99999.0000,0.0000,1
6,6598,4.6000,0.0000,99999.0000,0.0000,0
7,8746,8.9100,-3.3000,27.0000,0.0000,0
8,47002,16.6000,0.0000,99999.0000,0.0000,0
9,46944,0.3000,0.0000,99999.0000,0.0000,0
10,7199,18.2100,-2.4100,55.2000,0.0000,0
11,46981,10.8000,0.0000,99999.0000,0.0000,0
12,47356,47.5200,-0.7020,144.0000,0.0000,0
13,841,0.1000,0.0000,99999.0000,0.0000,0
14,984,11.0000,0.3843,11.4000,0.0000,1
15,9451,0.0000,0.0000,99999.0000,0.0000,1
16,47053,3.4000,0.8000,99999.0000,0.0000,0
17,6073,58.8000,-3.9000,178.2000,0.0000,0
18,47848,0.1000,0.0000,99999.0000,0.0000,0
19,8385,28.2100,-6.9300,85.5000,0.0000,0
20,4157,3.4000,0.0000,99999.0000,0.0000,0
21,922,0.0000,0.0000,99999.0000,0.0000,1
22,9400,0.1000,0.0000,99999.0000,0.0000,0
23,8524,0.0000,0.0000,99999.0000,0.0000,1
24,46593,37.6200,-14.5000,114.0000,0.0000,0
25,8612,31.0000,13.1900,36.1020,0.0000,1
26,6027,0.0000,0.0000,99999.0000,0.0000,1
27,5744,20.1600,-11.2000,61.1000,0.0000,0
28,9582,30.0000,1.0580,30.0000,0.0000,0
29,47614,47.5200,1.2690,144.0000,0.0000,0
30,4073,0.1000,0.0000,99999.0000,0.0000,0
31,6842,0.6000,0.0000,99999.0000,0.0000,0
32,6347,0.0000,5.3980,99999.0000,0.0000,1
33,8651,14.4200,-1.7100,43.7000,0.0000,0
34,44824,5.9400,-0.7500,18.0000,0.0000,0
35,9419,0.1000,0.0000,99999.0000,0.0000,0
36,6313,0.1000,0.0699,0.1000,0.0000,1
37,826,0.8000,0.0000,99999.0000,0.0000,0
38,9732,27.0000,-3.2100,27.0000,0.0000,0
39,32,350.0000,-9.4900,350.0000,0.0000,1
40,47785,5.0000,0.0000,99999.0000,0.0000,0
41,4251,0.1000,0.0000,99999.0000,0.0000,0
42,340,0.2000,0.0000,99999.0000,0.0000,0
43,6618,10.3900,-6.3700,31.5000,0.0000,0
44,958,28.1000,0.0000,99999.0000,0.0000,0
45,47069,22.3000,0.0000,99999.0000,0.0000,0
46,10012,129.6000,-26.6000,129.6000,0.0000,0
47,46988,4.4000,0.0000,99999.0000,0.0000,0
48,513,525.0000,-30.2000,525.0000,0.0000,1
49,47200,0.8000,0.0000,99999.0000,0.0000,0
50,2468,0.1000,0.0000,99999.0000,0.0000,0
51,44993,40.9200,-6.5900,128.0000,0.0000,0
52,9948,9.0000,-1.8900,9.0000,0.0000,0
53,921,381.0000,-1.3800,381.0000,0.0000,1
54,2490,0.1000,0.0000,99999.0000,0.0000,0
55,809,0.0000,0.0000,99999.0000,0.0000,1
56,8442,33.2600,-7.6900,100.8000,0.0000,0
57,48003,13.7000,0.0000,99999.0000,0.0000,0
58,46878,2.7000,0.0000,99999.0000,0.0000,0
59,6042,9.0090,-3.0000,27.3000,0.0000,0
60,7619,5.4000,0.0000,99999.0000,0.0000,0
61,48006,1.7000,0.0000,99999.0000,0.0000,0
62,503,221.0000,28.9100,221.6000,0.0000,1
63,4902,25.3000,0.0000,99999.0000,0.0000,0
64,7353,0.0000,0.0000,99999.0000,0.0000,1
65,8421,0.0000,0.0000,99999.0000,0.0000,1
66,10,640.0000,150.8000,640.0000,0.0000,1
67,8239,14.7300,-2.4100,44.6500,0.0000,0
68,47690,0.4000,0.0000,99999.0000,0.0000,0
69,1156,0.0000,0.0000,99999.0000,0.0000,1
70,8823,0.0000,0.0000,99999.0000,0.0000,1
71,1866,46.0000,0.0000,99999.0000,0.0000,1
72,46898,3.1000,0.0000,99999.0000,0.0000,0
73,8865,5.0000,0.6658,5.0000,0.0000,1
74,48013,9.1000,0.0000,99999.0000,0.0000,0
75,9767,0.0000,0.0000,99999.0000,0.0000,1
76,45135,16.9200,0.8770,119.7000,0.0000,0
77,46880,0.5000,0.0000,99999.0000,0.0000,0
78,46855,32.2000,0.0000,99999.0000,0.0000,0
79,2443,0.1000,0.0000,99999.0000,0.0000,0
80,20,1488.0000,-367.0000,1488.0000,0.0000,1
81,5827,0.0000,0.0000,99999.0000,0.0000,1
82,5151,0.0000,0.0000,99999.0000,0.0000,1
83,6036,19.8300,-0.9270,60.1200,0.0000,0
84,47734,30.8000,0.0000,99999.0000,0.0000,1
85,6135,18.6100,-11.0000,56.4000,0.0000,0
86,2436,0.1000,0.0000,99999.0000,0.0000,0
87,46420,32.6700,-4.3000,99.0000,0.0000,0
88,1621,2.0000,0.0000,99999.0000,0.0000,0
89,3997,23.9000,0.0000,99999.0000,0.0000,0
90,5040,30.6900,-10.1000,93.0000,0.0000,0
91,47049,3.8000,0.0000,99999.0000,0.0000,0
92,47210,0.5000,0.0000,99999.0000,0.0000,0
93,47034,10.0000,0.0000,99999.0000,0.0000,0
94,44763,0.0000,0.0000,99999.0000,0.0000,1
95,46956,17.5000,0.0000,99999.0000,0.0000,0
96,6556,18.0000,-0.5450,77.8000,0.0000,1
97,47739,6.3000,-1.9800,6.3000,0.0000,1
98,7463,0.0000,0.0000,99999.0000,0.0000,1
99,3993,30.0000,0.0000,99999.0000,0.0000,0
100,46980,1.6000,0.0000,99999.0000,0.0000,0
101,46863,1.7000,0.0000,99999.0000,0.0000,0
102,6025,0.0000,0.0000,99999.0000,0.0000,1
103,8636,19.8000,-3.7100,60.0000,0.0000,0
104,2365,0.1000,0.0000,99999.0000,0.0000,0
105,885,0.1000,0.0000,99999.0000,0.0000,0
106,45976,0.0000,0.0000,99999.0000,0.0000,1
107,6785,37.2200,-0.8760,112.8000,0.0000,0
108,47302,4.3000,0.0000,99999.0000,0.0000,0
109,44514,2.2860,-1.1900,6.9300,0.0000,0
110,7094,5.1000,0.0000,99999.0000,0.0000,0
111,46836,1.5000,0.0000,99999.0000,0.0000,0
112,1151,0.0000,0.0000,99999.0000,0.0000,1
113,46963,25.7000,0.0000,99999.0000,0.0000,0
114,2051,0.0000,0.0000,99999.0000,0.0000,1
115,45338,0.0000,0.0000,99999.0000,0.0000,1
116,803,0.0000,0.0000,99999.0000,0.0000,1
117,9705,0.1000,0.0000,99999.0000,0.0000,0
118,47826,47.5000,0.0000,99999.0000,0.0000,0
119,47795,8.4000,0.0000,99999.0000,0.0000,0
120,6777,18.7100,-0.1070,56.7000,0.0000,0
121,4042,163.0000,5.7030,330.6000,0.0000,1
122,8644,13.6600,-4.4300,41.4000,0.0000,0
123,8074,24.2800,-6.3300,73.6000,0.0000,0
124,47301,6.4000,0.0000,99999.0000,0.0000,0
125,3977,0.0000,0.0000,99999.0000,0.0000,1
126,5217,0.0000,0.0000,99999.0000,0.0000,1
127,46877,13.2000,0.0000,99999.0000,0.0000,0
128,6308,41.1000,-7.9300,124.5000,0.0000,0
129,2356,0.1000,0.0000,99999.0000,0.0000,0
130,1536,0.1000,0.0000,99999.0000,0.0000,0
131,47004,11.6000,0.0000,99999.0000,0.0000,0
132,46960,44.4000,0.0000,99999.0000,0.0000,0
133,6104,0.0000,0.0000,99999.0000,0.0000,1
134,7937,23.5600,-6.3200,71.4000,0.0000,0
135,47204,0.2000,0.0000,99999.0000,0.0000,0
136,7940,30.4900,-7.9300,92.4000,0.0000,0
137,47106,20.7000,0.0000,99999.0000,0.0000,0
138,44762,0.0000,-18.2000,99999.0000,0.0000,1
139,2916,12.0000,0.0000,99999.0000,0.0000,0
140,10624,0.0000,0.0000,99999.0000,0.0000,1
141,47191,1.8000,0.0000,99999.0000,0.0000,0
142,46994,2.0000,0.0000,99999.0000,0.0000,0
143,8899,27.4400,-8.2200,83.1600,0.0000,0
144,47750,30.0000,12.8000,99999.0000,0.0000,0
145,8798,36.0300,-7.5800,109.2000,0.0000,0
146,45634,31.9700,-10.0000,96.9000,0.0000,0
147,47166,12.1000,0.0000,99999.0000,0.0000,0
148,1177,0.0000,0.0000,99999.0000,0.0000,1
149,8574,31.4100,-16.0000,95.2000,0.0000,0
150,47716,7.6000,0.0000,99999.0000,0.0000,0
151,4016,53.0000,-16.6000,53.0000,0.0000,1
152,6448,0.0000,0.0000,99999.0000,0.0000,1
153,1100,5483.0000,1194.0000,7500.0000,0.0000,1
154,7458,32.0000,19.7600,210.0000,0.0000,1
155,46550,16.3300,-7.4000,49.5000,0.0000,0
156,47215,0.0000,0.0000,99999.0000,0.0000,1
157,16,1017.0000,-211.0000,1216.0000,0.0000,1
158,9372,0.1000,0.0000,99999.0000,0.0000,0
159,915,1105.0000,-224.0000,1140.0000,0.0000,1
160,4330,6.3000,0.0000,99999.0000,0.0000,0
161,47032,1.9000,0.0000,99999.0000,0.0000,0
162,6611,12.0000,0.0000,99999.0000,0.0000,1
163,9368,0.1000,0.0000,99999.0000,0.0000,0
164,35,381.0000,-7.4800,381.0000,0.0000,1
165,255,100.0000,18.9900,100.0000,0.0000,1
166,46921,30.7000,0.0000,99999.0000,0.0000,0
167,6318,25.9300,-2.0500,78.6000,0.0000,0
168,46856,0.4000,0.0000,99999.0000,0.0000,0
169,47075,0.6000,0.0000,99999.0000,0.0000,0
170,45569,74.6700,-5.1700,134.6000,0.0000,0
171,6320,36.4400,-0.9830,110.4000,0.0000,0
172,2387,0.1000,0.0000,99999.0000,0.0000,0
173,7062,398.0000,-94.3000,398.0000,0.0000,1
174,2433,0.1000,0.0000,99999.0000,0.0000,0
175,2381,0.1000,0.0000,99999.0000,0.0000,0
176,47807,6.5000,0.0000,99999.0000,0.0000,0
177,4373,1.1000,0.0000,99999.0000,0.0000,0
178,47148,6.9000,0.0000,99999.0000,0.0000,0
179,46879,0.9000,0.0000,99999.0000,0.0000,0
180,47287,35.4000,0.0000,99999.0000,0.0000,0
181,4389,0.1000,0.0000,99999.0000,0.0000,0
182,7073,2.9000,0.0000,99999.0000,0.0000,0
183,46929,4.8000,0.0000,99999.0000,0.0000,0
184,45161,35.0000,7.1550,47.0000,0.0000,1
185,40550,190.0000,0.0000,99999.0000,0.0000,0
186,6031,22.5900,0.8584,68.4700,0.0000,0
187,5899,26.7300,-6.3600,81.0000,0.0000,0
188,853,4.9000,0.0000,99999.0000,0.0000,0
