Barra,Tensao_pu,Angulo_graus
10,0.9890,-27.0000
11,0.9820,-26.0000
12,0.9750,-17.0000
13,1.0050,-23.0000
14,0.9610,-31.0000
16,0.9750,-22.0000
17,1.0050,-29.0000
18,0.9660,-1.7000
19,1.0010,-11.0000
20,1.0250,-7.8000
21,0.9860,-8.2000
22,1.0010,-17.0000
23,1.0010,0.0430
24,0.9770,-18.0000
28,1.0250,-12.0000
30,1.0030,-40.0000
31,1.0030,-40.0000
32,0.9930,-33.0000
35,0.9790,-4.1000
36,0.9730,-6.3000
37,1.0040,-13.0000
38,1.0070,-44.0000
41,1.0090,-43.0000
44,1.0110,-44.0000
47,1.0090,-43.0000
48,0.9790,-40.0000
50,0.9880,-42.0000
52,1.0160,-42.0000
53,0.9670,-42.0000
54,0.9670,-42.0000
56,0.9660,-18.0000
57,0.9110,-18.0000
58,1.0290,-18.0000
59,1.0240,-18.0000
60,0.9980,-7.2000
61,1.0440,-4.4000
62,1.0230,-18.0000
63,1.0280,-25.0000
64,1.0250,-25.0000
65,1.0230,-18.0000
66,1.0110,-18.0000
67,0.9090,-18.0000
68,1.0290,-18.0000
69,1.0230,-18.0000
70,1.0300,-10.0000
71,1.0300,-10.0000
72,1.0160,-26.0000
73,1.0160,-26.0000
74,0.9930,-16.0000
75,0.9890,-17.0000
76,0.9760,-35.0000
77,1.0530,-35.0000
78,1.0090,-41.0000
79,0.9260,-35.0000
80,0.9850,-35.0000
81,0.9700,-42.0000
82,1.0100,-41.0000
84,1.0020,-37.0000
85,1.0200,-7.9000
86,1.0300,-40.0000
87,1.0650,-36.0000
90,0.9990,-41.0000
91,0.9930,-43.0000
92,1.0440,-20.0000
93,1.0560,-20.0000
94,1.0590,-20.0000
95,0.9930,-43.0000
96,0.9930,-43.0000
99,1.0630,-18.0000
100,1.0600,-14.0000
101,1.0580,-24.0000
102,1.0540,-30.0000
103,1.0530,-33.0000
104,1.0640,-35.0000
105,1.0580,-34.0000
106,1.0580,-39.0000
107,1.0580,-41.0000
108,1.0590,-40.0000
110,1.0090,-44.0000
112,1.0950,-28.0000
113,1.0950,-28.0000
114,1.0950,-28.0000
115,1.0250,-23.0000
116,1.0250,-47.0000
117,1.0470,-17.0000
118,0.9600,-22.0000
119,0.9600,-22.0000
120,1.0000,-34.0000
121,0.9820,-35.0000
122,1.0860,-35.0000
123,0.9900,-37.0000
124,0.9960,-38.0000
125,1.0560,-42.0000
126,0.9980,-44.0000
127,0.9980,-42.0000
128,0.9980,-42.0000
129,0.9940,-43.0000
130,1.0560,-42.0000
131,1.0070,-24.0000
133,1.0010,-45.0000
134,1.0040,-23.0000
135,0.9900,-45.0000
136,1.0050,-29.0000
137,0.9900,-45.0000
138,1.0130,-40.0000
139,0.9890,-42.0000
140,1.0240,-42.0000
141,0.9850,-43.0000
142,0.9850,-43.0000
143,1.0010,-45.0000
144,1.0120,-43.0000
145,1.0010,-45.0000
146,1.0010,-45.0000
147,1.0130,-42.0000
148,0.9770,-45.0000
149,0.9990,-43.0000
150,0.9960,-45.0000
152,0.9840,-45.0000
153,0.9830,-45.0000
154,0.9840,-45.0000
155,0.9830,-45.0000
156,0.9970,0.0000
158,1.0350,-45.0000
159,0.9900,-45.0000
160,0.9670,-45.0000
161,0.9970,-44.0000
162,0.9750,-39.0000
163,0.9460,-39.0000
164,1.0360,-37.0000
165,0.9740,-37.0000
166,0.9910,-45.0000
167,0.9900,-45.0000
169,1.0140,-44.0000
170,1.0360,-37.0000
171,1.0080,-39.0000
172,0.9980,-46.0000
173,1.0410,-45.0000
174,1.0310,-45.0000
175,1.0560,-45.0000
176,0.9940,-38.0000
177,1.0030,-45.0000
178,1.0020,-44.0000
179,1.0090,-44.0000
180,1.0070,-45.0000
181,1.0000,-40.0000
182,0.9990,-36.0000
183,0.9970,-36.0000
184,1.0030,-40.0000
185,1.0050,-29.0000
186,0.9940,-38.0000
187,1.0300,-25.0000
189,1.0100,-25.0000
190,1.0290,-18.0000
192,0.9770,-45.0000
194,0.9020,-43.0000
195,0.9030,-43.0000
