caso,script,cluster_id
01 MAXIMA NOTURNA_DEZ25.PWF,14,N/C
01 MAXIMA NOTURNA_DEZ25.PWF,15,N/C
01 MAXIMA NOTURNA_DEZ25.PWF,16,N/C
01 MAXIMA NOTURNA_DEZ25.PWF,17,N/C
01 MAXIMA NOTURNA_DEZ25.PWF,18,N/C
01 MAXIMA NOTURNA_DEZ25.PWF,19,N/C
300bus.pwf,14,N/C
300bus.pwf,15,1
300bus.pwf,16,2
300bus.pwf,17,3
300bus.pwf,18,4
300bus.pwf,19,5
3bus.pwf,14,1
3bus.pwf,15,2
3bus.pwf,16,2
3bus.pwf,17,3
3bus.pwf,18,3
3bus.pwf,19,3
3bus_DBSH.pwf,14,1
3bus_DBSH.pwf,15,2
3bus_DBSH.pwf,16,2
3bus_DBSH.pwf,17,3
3bus_DBSH.pwf,18,3
3bus_DBSH.pwf,19,3
3bus_DCER.pwf,14,1
3bus_DCER.pwf,15,2
3bus_DCER.pwf,16,2
3bus_DCER.pwf,17,3
3bus_DCER.pwf,18,3
3bus_DCER.pwf,19,3
3bus_DCSC.pwf,14,1
3bus_DCSC.pwf,15,2
3bus_DCSC.pwf,16,3
3bus_DCSC.pwf,17,4
3bus_DCSC.pwf,18,4
3bus_DCSC.pwf,19,4
3bus_DCline.pwf,14,1
3bus_DCline.pwf,15,N/C
3bus_DCline.pwf,16,2
3bus_DCline.pwf,17,2
3bus_DCline.pwf,18,2
3bus_DCline.pwf,19,2
3bus_DSHL.pwf,14,N/C
3bus_DSHL.pwf,15,1
3bus_DSHL.pwf,16,2
3bus_DSHL.pwf,17,3
3bus_DSHL.pwf,18,3
3bus_DSHL.pwf,19,3
3bus_corrections.pwf,14,N/C
3bus_corrections.pwf,15,N/C
3bus_corrections.pwf,16,N/C
3bus_corrections.pwf,17,N/C
3bus_corrections.pwf,18,N/C
3bus_corrections.pwf,19,N/C
3bus_shunt_fields.pwf,14,1
3bus_shunt_fields.pwf,15,2
3bus_shunt_fields.pwf,16,3
3bus_shunt_fields.pwf,17,4
3bus_shunt_fields.pwf,18,4
3bus_shunt_fields.pwf,19,4
3busfrank.pwf,14,1
3busfrank.pwf,15,2
3busfrank.pwf,16,2
3busfrank.pwf,17,3
3busfrank.pwf,18,3
3busfrank.pwf,19,3
3busfrank_continuous_shunt.pwf,14,1
3busfrank_continuous_shunt.pwf,15,2
3busfrank_continuous_shunt.pwf,16,2
3busfrank_continuous_shunt.pwf,17,3
3busfrank_continuous_shunt.pwf,18,3
3busfrank_continuous_shunt.pwf,19,3
3busfrank_qlim.pwf,14,1
3busfrank_qlim.pwf,15,2
3busfrank_qlim.pwf,16,3
3busfrank_qlim.pwf,17,4
3busfrank_qlim.pwf,18,4
3busfrank_qlim.pwf,19,4
4busfrank_vlim.pwf,14,N/C
4busfrank_vlim.pwf,15,N/C
4busfrank_vlim.pwf,16,1
4busfrank_vlim.pwf,17,2
4busfrank_vlim.pwf,18,2
4busfrank_vlim.pwf,19,3
500bus.pwf,14,N/C
500bus.pwf,15,1
500bus.pwf,16,2
500bus.pwf,17,3
500bus.pwf,18,3
500bus.pwf,19,4
5busfrank.pwf,14,1
5busfrank.pwf,15,2
5busfrank.pwf,16,2
5busfrank.pwf,17,3
5busfrank.pwf,18,3
5busfrank.pwf,19,3
5busfrank_cphs.pwf,14,1
5busfrank_cphs.pwf,15,2
5busfrank_cphs.pwf,16,2
5busfrank_cphs.pwf,17,3
5busfrank_cphs.pwf,18,3
5busfrank_cphs.pwf,19,3
5busfrank_csca.pwf,14,N/C
5busfrank_csca.pwf,15,N/C
5busfrank_csca.pwf,16,1
5busfrank_csca.pwf,17,2
5busfrank_csca.pwf,18,2
5busfrank_csca.pwf,19,2
5busfrank_ctaf.pwf,14,1
5busfrank_ctaf.pwf,15,2
5busfrank_ctaf.pwf,16,2
5busfrank_ctaf.pwf,17,3
5busfrank_ctaf.pwf,18,4
5busfrank_ctaf.pwf,19,4
5busfrank_ctap.pwf,14,1
5busfrank_ctap.pwf,15,2
5busfrank_ctap.pwf,16,2
5busfrank_ctap.pwf,17,3
5busfrank_ctap.pwf,18,4
5busfrank_ctap.pwf,19,4
9bus.pwf,14,1
9bus.pwf,15,2
9bus.pwf,16,2
9bus.pwf,17,3
9bus.pwf,18,3
9bus.pwf,19,3
9bus_transformer_fields.pwf,14,1
9bus_transformer_fields.pwf,15,2
9bus_transformer_fields.pwf,16,2
9bus_transformer_fields.pwf,17,3
9bus_transformer_fields.pwf,18,4
9bus_transformer_fields.pwf,19,4
test_defaults.pwf,14,N/C
test_defaults.pwf,15,N/C
test_defaults.pwf,16,N/C
test_defaults.pwf,17,N/C
test_defaults.pwf,18,N/C
test_defaults.pwf,19,N/C
test_line_shunt.pwf,14,N/C
test_line_shunt.pwf,15,N/C
test_line_shunt.pwf,16,N/C
test_line_shunt.pwf,17,N/C
test_line_shunt.pwf,18,N/C
test_line_shunt.pwf,19,N/C
test_system.pwf,14,N/C
test_system.pwf,15,N/C
test_system.pwf,16,1
test_system.pwf,17,2
test_system.pwf,18,2
test_system.pwf,19,2
