Barra,Tensao_pu,Angulo_graus,Correcao_Tensao_QLIM_pu,Tipo_Barra
10,0.9500,-5.9184,0.000000,2
11,0.9500,-5.8464,0.000000,2
12,0.9501,1.4066,0.000000,2
13,0.9934,-4.2648,0.000000,2
14,0.9500,-11.1141,0.000000,2
16,0.9500,-3.0331,0.000000,2
17,0.9907,-9.8415,0.000000,2
18,1.0500,10.8329,0.000000,2
19,1.0370,2.9038,0.000000,2
20,1.0196,6.8411,0.000000,2
21,0.9690,-0.6024,0.000000,2
22,0.9500,2.3538,0.000000,2
23,0.9584,6.5547,0.000000,2
24,0.9501,4.9520,0.000000,2
28,0.9614,11.8477,0.000000,2
30,0.9699,-20.0027,0.000000,2
31,0.9699,-20.0027,0.000000,2
32,0.9500,-12.7282,0.000000,2
35,1.0494,7.9433,0.000000,2
36,0.9500,4.5572,0.000000,2
37,0.9961,-1.8312,0.000000,2
38,0.9500,-24.8447,0.000000,2
41,0.9501,-23.8526,0.000000,2
44,0.9500,-24.8627,0.000000,2
47,0.9501,-23.8526,0.000000,2
48,0.9828,-21.9966,0.000000,2
50,0.9516,-21.5313,0.000000,2
52,1.0024,-22.0852,0.000000,1
53,0.9523,-22.0852,0.000000,2
54,0.9523,-22.0852,0.000000,2
56,0.9554,0.9032,0.000000,1
57,0.9009,0.9283,0.000000,1
58,1.0179,0.9283,0.000000,1
59,1.0137,0.9032,0.000000,1
60,0.9806,10.5667,0.000000,1
61,1.0235,13.5721,0.000000,1
62,1.0224,-5.3043,0.000000,1
63,1.0230,-5.5491,0.000000,1
64,1.0202,-5.2961,0.000000,1
65,1.0157,0.5929,0.000000,1
66,1.0008,0.8568,0.000000,1
67,0.8995,0.9186,0.000000,1
68,1.0177,0.9241,0.000000,1
69,1.0135,7.2482,0.000000,1
70,1.0140,7.2491,0.000000,1
71,1.0136,7.1617,0.000000,1
72,1.0135,-5.9143,0.000000,1
73,0.9868,2.1656,0.000000,1
74,0.9871,2.1665,0.000000,1
75,0.9837,1.8131,0.000000,1
76,0.9702,-14.0325,0.000000,1
77,1.0456,-13.7142,0.000000,1
78,1.0084,-20.7525,0.000000,1
79,0.9184,-13.6999,0.000000,1
80,0.9770,-13.6999,0.000000,1
81,0.9714,-21.5313,0.000000,1
82,1.0098,-20.1544,0.000000,1
84,0.9905,-16.9626,0.000000,1
85,1.0770,-5.4906,0.000000,1
86,1.0437,-21.9966,0.000000,1
87,1.0523,-16.3785,0.000000,1
90,0.9925,-21.9939,0.000000,1
91,0.9936,-24.7397,0.000000,1
92,1.0468,-7.2287,0.000000,1
93,1.0589,-6.6278,0.000000,1
94,1.0612,-6.7851,0.000000,1
95,0.9936,-24.7464,0.000000,1
