Barra,Tensao_pu,Angulo_graus
10,0.9890,-24.5144
11,0.9820,-24.3961
12,0.9750,-16.3132
13,1.0050,-21.8149
14,0.9610,-29.2821
16,0.9750,-21.4824
17,1.0050,-28.1323
18,0.9660,-0.1737
19,1.0010,-9.3333
20,1.0250,-5.6039
21,0.9860,-7.3446
22,1.0010,-16.8400
23,1.0010,0.7417
24,0.9770,-17.7139
28,1.0250,-10.8203
30,1.0030,-37.3813
31,1.0030,-37.3813
32,0.9930,-30.6524
35,0.9790,-2.9350
36,0.9730,-5.6989
37,1.0040,-11.9492
38,1.0070,-41.8913
41,1.0090,-41.7344
44,1.0110,-41.9082
47,1.0090,-41.7344
48,0.9790,-40.4107
50,0.9880,-41.2436
52,1.0005,-37.8708
53,0.9670,-37.8708
54,0.9670,-37.8708
56,0.8072,-25.5676
57,0.7587,-25.7755
58,0.8572,-25.7755
59,0.8564,-25.5676
60,0.8724,-9.7015
61,0.9161,-5.7618
62,0.9084,-30.7864
63,0.9094,-31.1081
64,0.9065,-30.7743
65,0.8953,-22.9479
66,0.8510,-25.1511
67,0.7579,-25.7434
68,0.8575,-25.7357
69,0.8504,-16.7030
70,0.8508,-16.6983
71,0.8510,-16.7852
72,0.9343,-28.7200
73,0.8607,-21.7527
74,0.8611,-21.7517
75,0.8603,-22.0827
76,0.9391,-35.2552
77,1.0260,-34.6416
78,0.9921,-40.6311
79,0.9018,-34.6146
80,0.9594,-34.6146
81,0.9546,-41.2436
82,0.9917,-40.0183
84,1.0012,-35.0432
85,1.0200,-7.9267
86,1.0300,-40.4107
87,1.0635,-34.5584
90,0.8795,-39.5023
91,0.8716,-42.9242
92,1.0190,-19.7598
93,1.0323,-18.8720
94,1.0342,-19.1195
95,0.8716,-42.9326
96,0.8716,-42.9516
99,0.0000,10.2687
100,0.9619,-12.4511
101,1.0238,-24.7516
102,1.0359,-29.2731
103,1.0917,-34.8355
104,1.0620,-33.2988
105,1.0574,-31.5457
106,1.0577,-36.8976
107,1.0582,-38.6492
108,1.0598,-37.8671
110,1.0088,-41.9082
112,1.2261,-38.9986
113,1.2261,-38.9986
114,1.2262,-38.9993
115,1.2322,-41.5684
116,1.0361,-43.0117
117,1.0259,-14.0693
118,0.9335,-21.6961
119,0.9335,-21.6961
120,1.0023,-33.4937
121,0.9878,-34.4189
122,1.1419,-38.6456
123,1.0419,-38.0241
124,1.0519,-38.7140
125,0.9958,-39.2452
126,0.9973,-43.5570
127,0.9839,-41.3823
128,0.9839,-41.3823
129,0.9818,-42.0514
130,0.9958,-39.2452
131,0.9994,-23.4544
133,1.0050,-41.6647
134,0.9968,-21.8149
135,0.9887,-42.5473
136,0.9882,-28.1323
137,0.9887,-42.5421
138,0.9600,-39.9358
139,0.9850,-39.1319
140,1.0193,-39.4578
141,0.9790,-40.2046
142,0.9795,-40.0571
143,1.0051,-41.7206
144,1.0093,-40.5509
145,1.0047,-41.7267
146,1.0048,-41.6965
147,0.9873,-37.7962
148,0.9647,-39.1324
149,0.8242,-41.7344
150,0.8312,-45.5557
152,0.8211,-45.5350
153,0.8203,-45.7310
154,0.8211,-45.5350
155,0.8203,-45.7310
156,0.9970,0.0000
158,0.8629,-45.3596
159,0.9887,-42.5421
160,0.9651,-42.6099
161,0.9862,-42.1386
162,1.0768,-39.8276
163,1.0447,-39.8276
164,1.0467,-35.0505
165,0.9842,-34.9638
166,0.9894,-42.6099
167,0.9887,-42.5473
169,1.0153,-40.8034
170,1.0467,-34.8727
171,1.1197,-40.0519
172,0.9995,-42.7518
173,1.0444,-41.6189
174,1.0088,-40.3933
175,1.0427,-39.0498
176,1.0483,-38.5466
177,0.8357,-45.1482
178,1.0016,-41.7061
179,1.0090,-41.8913
180,1.0054,-42.4404
181,0.9997,-38.0233
182,0.9983,-34.3136
183,0.9952,-34.1997
184,1.0028,-37.3813
185,1.0045,-27.0997
186,1.0483,-38.5466
187,1.0177,-24.8578
189,0.9877,-24.6254
190,1.0078,-17.0362
192,0.9647,-39.1324
194,0.8975,-40.0571
195,0.8977,-40.2046
196,0.9646,-38.7140
197,0.9850,-39.1319
198,0.8368,-34.4189
199,0.8312,-45.5557
200,0.9841,-39.6604
201,0.9841,-39.6604
202,0.9841,-39.6593
203,0.9841,-39.6593
204,1.0047,-41.7267
205,1.0048,-41.6965
206,1.0051,-41.7206
208,0.9877,-24.6254
209,1.0050,-41.6647
210,1.0256,-9.3333
211,0.9890,-37.0000
212,0.9890,-37.0000
213,0.9595,-13.9072
214,0.9922,-14.2803
216,0.9896,-15.5660
217,0.9852,-11.4800
218,0.9499,-19.2283
219,0.9817,-17.9183
220,0.9985,-9.8131
221,0.9871,-24.3666
222,0.9864,-19.8014
223,0.9328,-21.8169
224,0.9314,-22.0426
225,1.0157,-12.1885
226,0.9584,-21.4491
227,0.9858,-19.8193
228,0.9854,-19.5732
229,0.9790,-25.2835
230,1.0122,-10.3790
231,1.0031,-15.3907
232,0.9864,-19.8014
233,1.0404,-15.6496
234,0.9832,-17.2570
235,1.0437,-11.9492
236,0.9850,-22.5383
237,0.9771,-19.4787
238,0.9760,-17.6408
239,1.0632,-12.9814
240,0.9829,-17.8859
241,0.9740,-17.8859
242,0.9328,-21.8169
243,0.9314,-22.0426
244,0.9720,-22.7840
245,0.9720,-22.7840
246,0.9099,-14.2803
248,0.9834,-17.1110
249,0.9944,-21.3137
250,0.9750,-28.5817
251,1.0106,-37.3934
252,1.0212,-36.7650
253,0.9750,-30.6540
254,1.0106,-37.3892
255,0.9790,-29.4809
256,1.0124,-36.9905
257,0.9600,-26.0336
258,1.0208,-33.1264
260,1.0019,-38.2830
262,1.0068,-37.7831
263,0.9973,-43.3147
266,1.0016,-40.4989
267,1.0039,-41.3903
270,1.0032,-43.2550
271,1.0089,-41.8693
272,0.9985,-43.8885
273,1.0201,-38.6152
274,1.0122,-39.3224
275,0.9953,-43.1113
276,0.9990,-36.3876
277,1.0027,-37.6716
278,1.0099,-40.2497
279,0.9896,-41.1009
281,1.0069,-39.6607
282,0.9961,-44.2939
283,1.0003,-42.6085
284,1.0009,-42.5169
285,0.9964,-40.0684
286,0.9976,-40.8168
287,1.0102,-41.4421
288,0.9954,-43.7667
289,0.9979,-42.1209
290,1.0008,-42.6564
291,1.0002,-42.5730
292,0.9971,-43.3031
293,0.9943,-43.0472
294,0.9918,-41.5384
295,1.0040,-38.8844
296,0.9980,-40.1454
297,1.0214,-48.4847
299,1.0440,-12.9888
300,0.9610,-9.2430
301,0.9800,-15.4307
302,0.9650,-11.7469
303,0.9990,2.9848
304,0.9760,-20.3697
305,0.9850,-11.9692
306,0.9850,-29.5844
307,0.9827,-12.1864
308,0.9094,-43.4922
309,0.9059,-47.3649
312,0.9870,-5.7177
313,0.9063,-41.2570
314,0.9357,-45.3427
315,0.9880,-45.5412
316,0.9363,-45.8628
317,1.0030,-41.1913
318,0.9910,-27.4988
319,0.9720,-34.9616
320,1.0207,-16.0490
321,0.9794,-14.5978
322,0.9918,-16.0697
323,0.9687,-40.8814
324,0.9435,-35.3300
325,1.0265,-22.5698
326,0.9900,-21.8178
327,0.9687,-46.6929
328,0.9728,-22.5019
329,0.9275,-35.3655
330,0.9542,-22.9977
331,0.8999,-45.4195
332,0.9364,-48.5888
336,0.9041,-43.4137
337,0.9160,-44.8931
338,0.9240,-44.8835
339,0.9243,-44.8426
340,1.0002,-12.3915
341,0.9741,-27.5951
342,1.0075,-29.8703
343,1.0090,-2.4067
344,0.9909,-34.2021
345,0.9549,-35.2471
346,0.9910,-35.3390
347,0.9805,-33.3254
348,0.9958,-33.1122
349,0.9546,-36.4294
350,0.9043,-38.4844
351,0.8384,-38.7245
352,0.8452,-38.9704
353,0.9321,-40.6555
354,0.9920,-40.6555
355,0.9920,-40.6555
356,0.9087,-38.7245
357,0.9139,-38.9704
360,1.0156,-17.9663
362,0.9757,-29.3552
364,1.0465,-34.9245
365,1.0461,-34.9763
367,0.9758,-30.8200
368,0.9689,-34.0890
370,1.0357,-3.9185
371,0.9045,-40.6213
372,0.9033,-40.6287
373,0.9174,-40.4899
374,0.9189,-40.4600
375,0.9397,-40.5147
376,0.9028,-46.5052
377,0.9278,-40.4013
378,0.9297,-35.4993
379,0.9277,-40.6213
380,0.9390,-27.1064
381,0.9439,-26.1053
382,0.9570,-27.9556
383,0.9804,-33.3339
384,0.9097,-38.4832
385,0.8557,-40.9723
386,0.8834,-43.3174
387,0.8850,-43.6794
388,0.8834,-43.6291
389,0.8394,-43.6473
390,0.8983,-26.7998
391,0.6818,-26.8791
392,0.9838,-15.6991
393,0.6695,-26.8870
394,0.9745,-30.8603
395,0.6361,-26.9100
396,1.0001,-16.9596
397,0.6695,-26.8870
