Barra,Tensao_pu,Angulo_graus
10,1.0000,1.1752
11,1.0000,1.2403
12,1.0000,11.0696
13,1.0000,5.7255
14,1.0000,-4.3571
16,1.0000,6.0002
17,1.0000,-0.3926
18,1.0000,27.8388
19,1.0000,19.2329
20,1.0000,19.7649
21,1.0000,22.1736
22,1.0000,10.7771
23,1.0000,34.6117
24,1.0000,9.5612
28,1.0000,17.2564
30,1.0000,-13.6449
31,1.0000,-13.6449
32,1.0000,-6.9601
35,1.0000,26.4926
36,1.0000,27.5995
37,1.0000,21.5666
38,1.0000,-17.3875
41,1.0000,-11.2021
44,1.0000,-17.4049
47,1.0000,-11.2021
48,1.0000,-13.3050
50,1.0000,-15.3491
52,1.0000,-11.7094
53,1.0000,-11.7094
54,1.0000,-11.7094
56,1.0000,8.6453
57,1.0000,8.7064
58,1.0000,8.7064
59,1.0000,8.6453
60,1.0000,17.6704
61,1.0000,20.9432
62,1.0000,1.4550
63,1.0000,1.1760
64,1.0000,1.4616
65,1.0000,7.8427
66,1.0000,8.5231
67,1.0000,8.6902
68,1.0000,8.6952
69,1.0000,15.4662
70,1.0000,15.4671
71,1.0000,15.3667
72,1.0000,0.4478
73,1.0000,9.5141
74,1.0000,9.5141
75,1.0000,9.0968
76,1.0000,-7.8552
77,1.0000,-8.0341
78,1.0000,-14.5691
79,1.0000,-8.0421
80,1.0000,-8.0421
81,1.0000,-15.3491
82,1.0000,-13.9023
84,1.0000,-9.8414
85,1.0000,-7.9818
86,1.0000,-13.3050
87,1.0000,-9.2828
90,1.0000,-9.2992
91,1.0000,-11.9432
92,1.0000,11.0208
93,1.0000,12.1640
94,1.0000,11.8181
95,1.0000,-11.9497
96,1.0000,-11.9643
99,1.0000,6.7995
100,1.0000,13.0297
101,1.0000,1.4550
102,1.0000,-3.3873
103,1.0000,-6.8407
104,1.0000,-7.7868
105,1.0000,-5.6479
106,1.0000,-12.0989
107,1.0000,-14.0796
108,1.0000,-13.2996
110,1.0000,-17.4049
112,1.0000,-1.0067
113,1.0000,-1.0067
114,1.0000,-1.0042
115,1.0000,4.7443
116,1.0000,-19.7898
117,1.0000,16.9721
118,1.0000,8.7908
119,1.0000,8.7908
120,1.0000,-7.3050
121,1.0000,-8.1610
122,1.0000,-8.5580
123,1.0000,-11.1138
124,1.0000,-12.0469
125,1.0000,-16.5788
126,1.0000,-18.2249
127,1.0000,-15.8293
128,1.0000,-15.8293
129,1.0000,-16.6097
130,1.0000,-16.5788
131,1.0000,4.1748
133,1.0000,-17.7573
134,1.0000,5.7255
135,1.0000,-18.0996
136,1.0000,-0.3926
137,1.0000,-18.0939
138,1.0000,-11.3776
139,1.0000,-14.2529
140,1.0000,-14.5592
141,1.0000,-15.2541
142,1.0000,-15.1176
143,1.0000,-17.8365
144,1.0000,-15.9330
145,1.0000,-17.8463
146,1.0000,-17.8029
147,1.0000,-11.7094
148,1.0000,-14.7442
149,1.0000,-11.2021
150,1.0000,-13.9129
152,1.0000,-13.8943
153,1.0000,-14.0328
154,1.0000,-13.8943
155,1.0000,-14.0328
156,0.9970,0.0000
158,1.0000,-13.7779
159,1.0000,-18.0939
160,1.0000,-18.1663
161,1.0000,-16.9827
162,1.0000,-13.2219
163,1.0000,-13.2219
164,1.0000,-10.0836
165,1.0000,-10.0836
166,1.0000,-18.1663
167,1.0000,-18.0996
169,1.0000,-16.9081
170,1.0000,-9.7200
171,1.0000,-13.4959
172,1.0000,-19.0244
173,1.0000,-17.6916
174,1.0000,-16.1384
175,1.0000,-14.5791
176,1.0000,-11.8201
177,1.0000,-13.6205
178,1.0000,-17.1983
179,1.0000,-17.3875
180,1.0000,-17.9853
181,1.0000,-9.1846
182,1.0000,-9.1779
183,1.0000,-8.7954
184,1.0000,-13.6449
185,1.0000,-10.0890
186,1.0000,-11.8201
187,1.0000,2.9711
189,1.0000,7.6475
190,1.0000,10.8480
192,1.0000,-14.7442
194,1.0000,-15.1176
195,1.0000,-15.2541
196,1.0000,-12.0469
197,1.0000,-14.2529
198,1.0000,-8.1610
199,1.0000,-13.9129
200,1.0000,-16.7756
201,1.0000,-16.7756
202,1.0000,-16.7723
203,1.0000,-16.7723
204,1.0000,-17.8463
205,1.0000,-17.8029
206,1.0000,-17.8365
208,1.0000,7.6475
209,1.0000,-17.7573
210,1.0000,19.2329
211,0.9890,-37.0000
212,0.9890,-37.0000
213,1.0000,12.4652
214,1.0000,12.3165
216,1.0000,11.8812
217,1.0000,17.5408
218,1.0000,11.1546
219,1.0000,14.0670
220,1.0000,19.9487
221,1.0000,7.8967
222,1.0000,12.2467
223,1.0000,8.6771
224,1.0000,8.4652
225,1.0000,16.9591
226,1.0000,9.0237
227,1.0000,12.2401
228,1.0000,12.4731
229,1.0000,8.0822
230,1.0000,23.3153
231,1.0000,14.0973
232,1.0000,12.2467
233,1.0000,16.5269
234,1.0000,14.7496
235,1.0000,21.5666
236,1.0000,9.7707
237,1.0000,12.6479
238,1.0000,11.9352
239,1.0000,20.8745
240,1.0000,11.6988
241,1.0000,11.6988
242,1.0000,8.6771
243,1.0000,8.4652
244,1.0000,9.5443
245,1.0000,9.5443
246,1.0000,12.3165
248,1.0000,12.5994
249,1.0000,8.2318
250,1.0000,-4.2158
251,1.0000,-12.4444
252,1.0000,-11.8721
253,1.0000,-6.1406
254,1.0000,-12.4407
255,1.0000,-4.9550
256,1.0000,-12.0167
257,1.0000,-4.9771
258,1.0000,-11.5736
260,1.0000,-13.5827
262,1.0000,-12.9439
263,1.0000,-18.9464
266,1.0000,-15.8838
267,1.0000,-17.9970
270,1.0000,-18.8601
271,1.0000,-17.9508
272,1.0000,-19.7703
273,1.0000,-13.3614
274,1.0000,-14.2584
275,1.0000,-18.7554
