ID_Gerador,Barra,Pot_Ativa_pu,Pot_Reativa_pu,Limite_Qmin,Limite_Qmax,Status_Q
2,9682,0.5000,0.5565,-0.2250,0.6000,OK
3,1863,0.4790,-0.0831,-0.0860,0.0860,OK
5,45980,0.0000,0.0000,0.0000,0.0000,MAX_CAP
14,984,0.1100,0.0090,-0.0500,0.0360,OK
15,9451,0.0000,0.0000,0.0000,0.0000,MAX_CAP
21,922,0.0000,0.0000,0.0000,0.0000,MAX_CAP
23,8524,0.0000,0.0000,0.0000,0.0000,MAX_CAP
25,8612,0.3100,0.2658,-0.1930,0.2670,OK
26,6027,0.0000,0.0000,0.0000,0.0000,MAX_CAP
32,6347,0.0000,0.1723,-0.1500,0.3000,OK
36,6313,0.0010,0.0019,-0.0020,0.0020,OK
39,32,3.5000,-0.3429,-1.8000,2.2000,OK
48,513,5.2500,-1.3540,-2.4000,2.4000,OK
53,921,3.8100,0.7427,-1.2000,1.4000,OK
55,809,0.0000,0.0000,0.0000,0.0000,MAX_CAP
62,503,2.2100,0.1164,-0.9600,0.9600,OK
64,7353,0.0000,0.0000,0.0000,0.0000,MAX_CAP
65,8421,0.0000,0.0000,0.0000,0.0000,MAX_CAP
66,10,6.4000,0.8127,-0.7000,2.4000,OK
69,1156,0.0000,0.0000,0.0000,0.0000,MAX_CAP
70,8823,0.0000,0.0000,0.0000,0.0000,MAX_CAP
71,1866,0.4600,0.0000,0.0000,0.0000,MAX_CAP
73,8865,0.0500,0.0263,-0.0375,0.0350,OK
75,9767,0.0000,0.0000,0.0000,0.0000,MAX_CAP
80,20,14.8800,-5.2491,-6.4000,6.4000,OK
81,5827,0.0000,0.0000,0.0000,0.0000,MAX_CAP
82,5151,0.0000,0.0000,0.0000,0.0000,MAX_CAP
96,6556,0.1800,-0.0640,-0.0650,0.1200,OK
97,47739,0.0630,-0.0168,-0.6000,0.6000,OK
98,7463,0.0000,0.0000,0.0000,0.0000,MAX_CAP
102,6025,0.0000,0.0000,0.0000,0.0000,MAX_CAP
106,45976,0.0000,0.0000,0.0000,0.0000,MAX_CAP
112,1151,0.0000,0.0000,0.0000,0.0000,MAX_CAP
114,2051,0.0000,0.0000,0.0000,0.0000,MAX_CAP
115,45338,0.0000,0.0000,0.0000,0.0000,MAX_CAP
116,803,0.0000,0.0000,0.0000,0.0000,MAX_CAP
121,4042,1.6300,0.3037,-1.4000,0.7240,OK
125,3977,0.0000,0.0000,0.0000,0.0000,MAX_CAP
126,5217,0.0000,0.0000,0.0000,0.0000,MAX_CAP
133,6104,0.0000,0.0000,0.0000,0.0000,MAX_CAP
138,44762,0.0000,-0.2287,-0.8200,1.6500,OK
140,10624,0.0000,0.0000,0.0000,0.0000,MAX_CAP
148,1177,0.0000,0.0000,0.0000,0.0000,MAX_CAP
151,4016,0.5300,-0.0507,-0.2400,0.2400,OK
152,6448,0.0000,0.0000,0.0000,0.0000,MAX_CAP
153,1100,42.3469,2.6221,-34.6400,34.6400,OK
154,7458,0.3200,0.1933,-0.3400,0.3500,OK
156,47215,0.0000,0.0000,0.0000,0.0000,MAX_CAP
157,16,10.1700,-2.9185,-3.5000,3.5000,OK
159,915,11.0500,-1.4573,-4.4000,4.2000,OK
162,6611,0.1200,0.0000,0.0000,0.0000,MAX_CAP
164,35,3.8100,1.0776,-1.8000,1.8000,OK
165,255,1.0000,0.0498,-0.2000,0.7000,OK
173,7062,3.9800,-1.8900,-1.8900,1.9980,MIN_IND
184,45161,0.3500,-0.0194,-0.0200,0.1650,OK
189,917,2.2600,-0.0759,-1.1500,1.1500,OK
190,5586,0.0000,0.9998,-0.7000,1.0000,OK
191,1150,6.9000,-0.2813,-2.2800,2.2800,OK
193,46601,0.0000,0.0000,0.0000,0.0000,MAX_CAP
195,5147,0.0000,0.4321,-1.0500,1.5000,OK
198,7999,0.0000,0.2354,-1.8000,3.0000,OK
199,6023,0.0000,0.0000,0.0000,0.0000,MAX_CAP
203,5134,0.0000,0.0000,0.0000,0.0000,MAX_CAP
204,4492,5.1000,-0.2964,-2.8200,3.1000,OK
206,5205,0.0000,-0.0002,-0.0900,0.2000,OK
209,10363,1.1940,0.1233,-0.4430,1.0110,OK
213,45197,0.1250,0.0196,-0.0480,0.0480,OK
215,4462,0.8400,-0.3899,-0.3900,0.4843,MIN_IND
221,24,1.8000,0.3952,-0.2400,0.6200,OK
222,9026,2.0400,-0.0407,-0.7920,1.1040,OK
223,253,0.8800,0.2952,-0.1680,0.5000,OK
227,925,14.1100,-2.4120,-4.6800,4.6800,OK
230,346,0.0000,-0.1072,-0.6000,1.0000,OK
232,45979,0.0000,0.0000,0.0000,0.0000,MAX_CAP
242,403,0.0000,0.0000,0.0000,0.0000,MAX_CAP
246,50,0.0000,-0.7545,-1.8000,3.0000,OK
248,5240,0.0000,0.0000,0.0000,0.0000,MAX_CAP
249,45070,0.0000,0.0000,0.0000,0.0000,MAX_CAP
252,9041,0.0000,0.0000,0.0000,0.0000,MAX_CAP
253,405,0.0000,0.0000,0.0000,0.0000,MAX_CAP
257,919,7.2800,0.7861,-1.6000,2.1200,OK
258,8276,0.3100,0.0764,-0.3570,0.3570,OK
261,8875,0.4200,0.1341,-0.1660,0.3648,OK
263,18,22.5300,3.6112,-5.4600,6.0000,OK
269,1159,1.3000,-0.2979,-0.6000,0.6000,OK
271,4891,0.1800,-0.0066,-0.1600,0.1600,OK
276,46246,0.0000,0.0000,0.0000,0.0000,MAX_CAP
281,5646,3.3000,-0.0473,-1.8100,1.4600,OK
288,2085,0.0000,0.0706,-0.9000,1.7400,OK
289,9101,0.0000,0.0000,0.0000,0.0000,MAX_CAP
294,5757,0.0000,0.0000,0.0000,0.0000,MAX_CAP
297,6970,0.0000,-0.4417,-0.8700,1.6700,OK
304,6465,0.0000,1.9834,-1.8000,3.0000,OK
305,8597,1.2100,0.7212,-0.7260,0.7257,OK
307,5596,0.0000,0.9999,-0.7000,1.0000,MAX_CAP
308,3968,2.4300,0.0697,-1.1800,1.1760,OK
310,4476,0.0020,0.0000,0.0000,0.0000,MAX_CAP
311,28,3.2800,-0.7805,-1.0000,1.0000,OK
313,9218,0.7637,-0.0104,-0.3000,0.3880,OK
318,2696,0.5000,0.0000,0.0000,0.0000,MAX_CAP
