ID_Gerador,Pot_Ativa_pu,Pot_Reativa_pu
1,0.4752,-0.0018
2,0.5000,62.3275
3,0.4790,-108.0201
4,0.0290,0.0000
5,0.0000,-1.3330
6,0.0460,0.0000
7,0.0891,-0.0330
8,0.1660,0.0000
9,0.0030,0.0000
10,0.1821,-0.0241
11,0.1080,0.0000
12,0.4752,-0.0070
13,0.0010,0.0000
14,0.1100,-1.2038
15,-0.0000,80.5877
16,0.0340,0.0080
17,0.5880,-0.0390
18,0.0010,0.0000
19,0.2821,-0.0693
20,0.0340,0.0000
21,-0.0000,-28.9782
22,0.0010,0.0000
23,0.0000,-107.7557
24,0.3762,-0.1450
25,0.3100,-27.5321
26,-0.0000,80.9657
27,0.2016,-0.1120
28,0.3000,0.0106
29,0.4752,0.0127
30,0.0010,0.0000
31,0.0060,0.0000
32,-0.0000,0.4534
33,0.1442,-0.0171
34,0.0594,-0.0075
35,0.0010,0.0000
36,0.0010,57.1322
37,0.0080,0.0000
38,0.2700,-0.0321
39,3.5000,-163.7000
40,0.0500,0.0000
41,0.0010,0.0000
42,0.0020,0.0000
43,0.1039,-0.0637
44,0.2810,0.0000
45,0.2230,0.0000
46,1.2960,-0.2660
47,0.0440,0.0000
48,5.2500,-148.8689
49,0.0080,0.0000
50,0.0010,0.0000
51,0.4092,-0.0659
52,0.0900,-0.0189
53,3.8100,-101.2255
54,0.0010,0.0000
55,-0.0000,-30.3483
56,0.3326,-0.0769
57,0.1370,0.0000
58,0.0270,0.0000
59,0.0901,-0.0300
60,0.0540,0.0000
61,0.0170,0.0000
62,2.2100,-79.9815
63,0.2530,0.0000
64,-0.0000,-7.3225
65,-0.0000,-3.0477
66,6.4000,-22.2421
67,0.1473,-0.0241
68,0.0040,0.0000
69,-0.0000,-27.2515
70,0.0000,-19.7772
71,0.4600,-6.8509
72,0.0310,0.0000
73,0.0500,-4.8612
74,0.0910,0.0000
75,-0.0000,-6.5951
76,0.1692,0.0088
77,0.0050,0.0000
78,0.3220,0.0000
79,0.0010,0.0000
80,14.8800,-201.0131
81,-0.0000,-12.1096
82,-0.0000,4.0385
83,0.1983,-0.0093
84,0.3080,0.0000
85,0.1861,-0.1100
86,0.0010,0.0000
87,0.3267,-0.0430
88,0.0200,0.0000
89,0.2390,0.0000
90,0.3069,-0.1010
91,0.0380,0.0000
92,0.0050,0.0000
93,0.1000,0.0000
94,0.0000,0.0000
95,0.1750,0.0000
96,0.1800,-6.8010
97,0.0630,2.2492
98,-0.0000,-16.5139
