ID_Linha,De_Barra,Para_Barra,P_origem,Q_origem,P_destino,Q_destino,Carregamento_Pct
1,7895,1731,0.7130,0.1132,-0.7130,-0.1132,49.45
2,5571,5671,0.2797,-0.1143,-0.2773,-0.1530,15.18
3,278,4102,1.2263,-0.0054,-1.2224,0.0237,63.21
4,744,3927,0.2840,0.1148,-0.2840,-0.1150,31.91
5,1760,175,-1.1509,-0.2729,1.1517,0.2753,69.58
6,45429,45653,0.6899,-0.1814,-0.6877,0.1837,70.63
7,256,3975,0.4276,0.0978,-0.4251,-0.1013,28.67
8,1728,1792,0.2024,-0.1983,-0.2005,0.1838,23.22
9,568,47852,0.6881,0.0455,-0.6871,-0.0439,36.10
10,104,609,-0.2205,-1.2148,0.2206,-0.9393,6.66
11,6634,5167,0.2433,-0.1400,-0.2428,0.1417,2.13
12,635,11686,0.6600,-0.1824,-0.6539,0.1932,33.24
13,3924,622,-0.2630,-0.0150,0.2630,0.0151,0.02
14,8171,6316,-2.8233,0.9353,3.0339,0.1055,103.63
16,3838,47778,-0.0003,0.0002,0.0003,-0.0002,0.00
17,10775,1242,-0.1503,0.0182,0.1505,-0.0233,15.77
18,3857,730,-0.2100,-0.0640,0.2100,0.0641,0.02
19,184,9640,-0.4010,0.2356,0.4022,-0.2357,47.95
21,278,1432,-1.6616,0.5216,1.6662,-0.4930,50.19
22,6358,6351,-0.5769,0.0567,0.5771,-0.0629,7.27
23,7395,1497,-0.2700,-0.0890,0.2700,0.0890,2.85
24,1449,40583,-1.0289,-0.4950,1.0289,0.4953,47.77
25,3257,1604,0.4665,0.0687,-0.4650,-0.0690,49.11
26,6075,5325,0.6187,-4.8334,-0.6178,-4.2385,19.53
27,2266,2329,-0.2856,-0.3122,0.2878,0.3045,16.99
28,836,46971,-0.1500,-0.0000,0.1500,-0.0000,0.00
29,595,11708,-0.2409,0.3059,0.2420,-0.3079,36.05
30,3965,230,3.4290,-0.6306,-3.3355,1.2664,88.94
32,13477,13124,-0.3836,-0.0227,0.3839,0.0234,26.68
