ID_Linha,De_Barra,Para_Barra,P_origem_pu,Q_origem_pu,P_destino_pu,Q_destino_pu
1,7895,1731,0.7130,0.1009,-0.7130,-0.1009
2,5571,5671,0.4330,-0.0321,-0.4269,-0.2118
3,278,4102,1.2322,0.0761,-1.2285,-0.0591
4,744,3927,0.2840,0.1148,-0.2840,-0.1150
5,1760,175,0.2260,0.1493,-0.2260,-0.1499
6,45429,45653,0.7615,-0.1850,-0.7585,0.1897
7,256,3975,0.3681,0.0514,-0.3663,-0.0582
8,1728,1792,0.2016,0.0395,-0.2005,-0.0544
9,568,47852,0.7540,0.0173,-0.7527,-0.0136
10,104,609,-0.2979,-0.9193,0.2980,-1.2516
11,6634,5167,0.2433,-0.1400,-0.2428,0.1413
12,635,11686,0.4706,0.0573,-0.4679,-0.0618
13,3924,622,-0.2630,-0.0150,0.2630,0.0150
14,8171,6316,0.1567,-0.0644,-0.1561,-0.1879
15,2158,2129,NaN,NaN,NaN,NaN
16,3838,47778,-0.0000,-0.0000,0.0000,0.0000
17,10775,1242,-0.4621,-0.0970,0.4635,0.0973
18,3857,730,-0.2100,-0.0640,0.2100,0.0640
19,184,9640,-0.4162,0.2498,0.4174,-0.2501
20,7228,8349,NaN,NaN,NaN,NaN
21,278,1432,-1.6683,0.4829,1.6726,-0.4568
22,6358,6351,0.2114,-1.0195,-0.2111,1.0137
23,7395,1497,-0.2700,-0.0890,0.2700,0.0890
24,1449,40583,-1.0458,-0.5031,1.0458,0.5034
25,3257,1604,0.4664,0.0686,-0.4650,-0.0690
26,6075,5325,-0.3425,-4.6758,0.3427,-4.6243
27,2266,2329,-0.3026,-0.2933,0.3050,0.2883
28,836,46971,-0.1500,-0.0000,0.1500,0.0000
29,595,11708,0.1290,-0.0935,-0.1288,0.0892
30,3965,230,3.4323,-0.4153,-3.3472,0.9778
31,27644,7644,NaN,NaN,NaN,NaN
32,13477,13124,-0.3061,-0.0775,0.3064,0.0779
33,4218,712,-0.6274,-0.3158,0.6306,0.3190
34,9829,10227,0.0500,0.0119,-0.0500,-0.0119
35,6009,6020,-0.3375,0.1515,0.3395,-0.1460
36,1199,1212,0.5915,0.1086,-0.5902,-0.1236
37,744,22027,0.2329,-0.6787,-0.2268,0.6845
38,104,9626,3.2538,-1.3981,-3.2446,-1.2808
39,44628,48151,-0.0270,-0.0000,0.0270,0.0000
40,8375,8376,-0.3460,0.0382,0.3465,-0.0304
41,23149,2040,0.0216,-0.1409,-0.0163,0.1222
42,638,46520,0.3787,-0.1195,-0.3779,0.1185
43,766,226,-0.2936,-0.0610,0.2943,0.0064
44,2268,4227,NaN,NaN,NaN,NaN
45,21958,21993,0.1230,0.0353,-0.1230,-0.0364
46,1898,1089,-0.2324,-0.2287,0.2328,0.0689
47,761,2968,0.7206,0.2563,-0.7018,-0.2247
48,8566,46331,0.0370,0.0160,-0.0370,-0.0160
49,785,47223,-0.0500,0.0000,0.0500,0.0000
50,4127,281,NaN,NaN,NaN,NaN
51,4370,7374,0.0000,-0.0000,0.0000,-0.0207
52,8591,46319,0.0190,0.0080,-0.0190,-0.0080
53,309,46883,-0.0170,0.0000,0.0170,0.0000
54,40702,1527,0.2125,0.0479,-0.2122,-0.0500
55,5802,5804,0.7410,0.2487,-0.7397,-0.2871
56,1201,9297,0.0960,0.0264,-0.0960,-0.0264
57,8528,8539,NaN,NaN,NaN,NaN
58,12007,3195,NaN,NaN,NaN,NaN
59,9819,1246,0.9254,0.2086,-0.9232,-0.2340
60,14184,4170,0.0780,0.0028,-0.0780,-0.0030
61,4763,4755,-0.3266,-0.0327,0.3328,0.0233
62,1215,1243,1.1057,-0.1906,-1.0990,0.1786
63,12036,3146,0.2055,-0.0222,-0.2055,0.0222
64,695,4149,0.2771,0.0947,-0.2770,-0.0950
65,7397,1545,-0.2410,-0.1030,0.2412,0.1039
66,13686,3686,0.0830,0.0195,-0.0830,-0.0200
67,26584,479,0.0513,-0.1417,-0.0505,0.1190
68,6533,6550,-0.1796,0.1049,0.1801,-0.1010
69,5453,5473,-0.0344,0.0532,0.0344,-0.0542
70,40721,7363,0.0060,0.0017,-0.0060,-0.0020
71,3952,9633,NaN,NaN,NaN,NaN
72,1284,47191,-0.0180,-0.0000,0.0180,0.0000
73,2526,2524,1.2900,-0.0151,-1.2720,0.0827
74,981,9988,1.4015,0.1678,-1.3903,-0.1473
75,3070,2614,0.1336,0.4368,-0.1316,-0.4362
76,547,549,2.2243,5.1646,-2.1786,-4.9918
77,2731,47696,0.0000,-0.0000,-0.0000,0.0000
78,6639,6648,-0.2854,0.0859,0.2861,-0.0797
79,4004,48138,-0.0000,-0.0000,0.0000,0.0000
80,2417,10807,NaN,NaN,NaN,NaN
81,44882,2210,NaN,NaN,NaN,NaN
82,2469,2471,0.0288,0.0080,-0.0276,-0.0082
83,9739,1074,0.2520,0.3541,-0.2501,-0.5050
84,3035,3019,-0.2571,1.0842,0.2615,-1.3785
85,22470,9129,NaN,NaN,NaN,NaN
86,4043,319,-0.7520,0.1796,0.7609,-0.2401
87,17632,3840,0.0019,-0.0024,-0.0019,-0.0006
88,1581,7376,0.0000,-0.0096,0.0000,-0.0000
89,2274,2277,0.6673,0.2804,-0.6668,-0.2789
90,9921,47206,-0.1920,-0.0000,0.1920,0.0000
91,1239,1256,0.3465,-0.1391,-0.3407,-0.2028
92,3249,1647,0.6450,0.1190,-0.6450,-0.1190
93,1628,1685,-0.1252,-0.0120,0.1252,0.0036
94,3308,47082,-0.2040,-0.0610,0.2040,0.0610
95,5804,5842,0.3326,0.2367,-0.3326,-0.2373
96,1089,1084,0.4385,-0.0705,-0.4360,-0.2564
97,2771,1007,-0.9312,0.1354,0.9617,-0.0638
98,11604,11733,-0.0409,-0.0087,0.0409,0.0034
99,4077,7353,0.1670,-0.0395,-0.1639,0.0096
100,12019,2018,0.4442,0.1578,-0.4410,-0.1600
101,7499,1747,0.0550,0.0215,-0.0550,-0.0220
102,649,4134,0.0050,-0.0165,-0.0050,0.0000
103,22108,2166,0.7339,-0.0024,-0.7298,0.0116
104,2110,7685,0.0681,0.0256,-0.0680,-0.0350
105,399,46887,-0.0380,0.0000,0.0380,0.0000
106,8566,8564,-0.0790,0.0444,0.0791,-0.0448
107,1058,2737,0.4681,0.0757,-0.4589,-0.0522
108,3583,583,-3.0810,-0.7570,3.0811,0.7571
109,5631,5421,-0.1455,-0.2211,0.1460,-0.0957
110,10219,1301,0.2856,0.0902,-0.2831,-0.0831
111,562,633,-0.0257,-0.4291,0.0330,0.4251
112,414,7734,-6.1493,1.8060,6.2701,-2.0405
113,850,2447,0.1344,0.1083,-0.1318,-0.1187
114,3238,4108,NaN,NaN,NaN,NaN
115,6900,6890,0.0685,-0.2437,-0.0682,0.1703
116,46347,2613,0.0483,-0.1310,-0.0483,0.1289
117,382,4074,-0.1251,0.0144,0.1269,-0.0601
118,572,559,5.3444,-1.3473,-5.2790,0.4622
119,2192,2235,0.1394,0.0176,-0.1380,-0.0170
120,2373,2384,0.2831,-0.1257,-0.2780,0.1031
121,5551,5689,-2.2644,-3.8745,2.2726,3.9308
