ID_Linha,De_Barra,Para_Barra,P_origem_pu,Q_origem_pu,P_destino_pu,Q_destino_pu
1,7895,1731,0.0000,0.0000,0.0000,0.0000
2,5571,5671,0.4556,-0.0162,-0.4490,-0.2322
3,278,4102,1.2638,0.0755,-1.2599,-0.0575
4,744,3927,0.1982,0.5945,-0.1980,-0.5941
5,1760,175,-0.1913,-0.7977,0.1917,0.7984
6,45429,45653,1.4136,-0.4708,-1.4038,0.4919
7,256,3975,0.3547,0.0437,-0.3531,-0.0510
8,1728,1792,0.0415,0.0954,-0.0412,-0.1131
9,568,47852,0.0326,0.1728,-0.0325,-0.1759
10,104,609,-1.6395,-0.5989,1.6434,-1.5122
11,6634,5167,0.4079,-0.1590,-0.4066,0.1704
12,635,11686,0.3247,-0.0435,-0.3233,0.0337
13,3924,622,0.0000,0.0000,0.0000,0.0000
14,8171,6316,0.1479,-0.0405,-0.1473,-0.2151
15,2158,2129,NaN,NaN,NaN,NaN
16,3838,47778,0.0000,0.0000,0.0000,0.0000
17,10775,1242,0.0000,-0.0027,0.0000,-0.0027
18,3857,730,0.0000,0.0000,0.0000,0.0000
19,184,9640,-0.9387,0.4225,0.9441,-0.4094
20,7228,8349,NaN,NaN,NaN,NaN
21,278,1432,-1.6327,0.5308,1.6369,-0.5055
22,6358,6351,0.0000,-0.0034,0.0000,-0.0034
23,7395,1497,0.0000,0.0000,0.0000,0.0000
24,1449,40583,0.0000,-0.0000,0.0000,-0.0000
25,3257,1604,0.1164,0.2403,-0.1160,-0.2427
26,6075,5325,-0.7216,-4.7023,0.7225,-4.5964
27,2266,2329,-0.3461,-0.3074,0.3487,0.3013
28,836,46971,0.0000,-0.0000,0.0000,-0.0000
29,595,11708,0.0358,0.0915,-0.0357,-0.0962
30,3965,230,3.4404,-0.5446,-3.3548,1.1097
31,27644,7644,NaN,NaN,NaN,NaN
32,13477,13124,-1.9706,0.3729,1.9807,-0.3396
33,4218,712,0.7724,-0.5082,-0.7665,0.5189
34,9829,10227,0.0000,-0.0000,0.0000,-0.0000
35,6009,6020,-0.3643,0.1583,0.3667,-0.1500
36,1199,1212,1.1993,-0.2488,-1.1950,0.2416
37,744,22027,0.9343,-0.2064,-0.9220,0.2294
38,104,9626,3.5216,-1.2865,-3.5109,-1.3713
39,44628,48151,0.0000,0.0000,0.0000,0.0000
40,8375,8376,-0.1866,0.0307,0.1868,-0.0304
41,23149,2040,0.0544,-0.1317,-0.0478,0.1191
42,638,46520,0.0277,0.0701,-0.0277,-0.0732
43,766,226,-0.5122,0.0341,0.5143,-0.0864
44,2268,4227,NaN,NaN,NaN,NaN
45,21958,21993,0.0000,-0.0006,0.0000,-0.0006
46,1898,1089,-0.6622,0.1246,0.6644,-0.2826
47,761,2968,0.8222,0.1979,-0.8005,-0.1595
48,8566,46331,0.0000,0.0000,0.0000,0.0000
49,785,47223,0.0000,0.0000,0.0000,0.0000
50,4127,281,NaN,NaN,NaN,NaN
51,4370,7374,0.0008,0.0115,-0.0008,-0.0330
52,8591,46319,0.0000,0.0000,0.0000,0.0000
53,309,46883,0.0000,0.0000,0.0000,0.0000
54,40702,1527,0.0554,0.1374,-0.0553,-0.1407
55,5802,5804,1.0766,0.2770,-1.0740,-0.3042
56,1201,9297,0.0348,0.1179,-0.0347,-0.1179
57,8528,8539,NaN,NaN,NaN,NaN
58,12007,3195,NaN,NaN,NaN,NaN
59,9819,1246,0.0519,0.3354,-0.0516,-0.3852
60,14184,4170,0.0000,-0.0001,0.0000,-0.0001
61,4763,4755,-0.3173,-0.0279,0.3229,0.0162
62,1215,1243,1.9109,-0.2095,-1.8932,0.2529
63,12036,3146,0.0000,0.0000,0.0000,0.0000
